,id,datetime,countPassengers,TG,RH,dayOfWeek,season
108,1417248,2023-04-19,145822,10.6,0.0,2,spring
109,1405353,2023-04-20,77689,8.9,1.0,3,spring
110,1422157,2023-04-21,45707,11.0,5.0,4,spring
111,1447398,2023-04-22,62801,8.8,3.5,5,spring
112,1411545,2023-04-23,68294,11.4,11.3,6,spring
113,1415818,2023-04-24,64675,8.4,12.9,0,spring
114,1424412,2023-04-25,72823,6.5,0.1,1,spring
115,1439422,2023-04-26,60976,6.1,-0.1,2,spring
116,1447465,2023-04-27,34970,8.5,0.0,3,spring
117,1408717,2023-04-28,80463,10.1,0.8,4,spring
118,1427702,2023-04-29,88898,11.3,0.0,5,spring
119,1416337,2023-04-30,63950,11.8,0.0,6,spring
120,1411543,2023-05-01,51341,11.7,0.4,0,spring
121,1412749,2023-05-02,62930,9.1,0.0,1,spring
122,1405554,2023-05-03,64178,9.6,0.0,2,spring
123,1405760,2023-05-04,51080,14.5,0.0,3,spring
124,1428913,2023-05-05,54515,14.2,10.7,4,spring
125,1438358,2023-05-06,84031,15.1,3.4,5,spring
126,1414411,2023-05-07,54844,15.8,1.0,6,spring
127,1445677,2023-05-08,56790,14.6,0.0,0,spring
128,1415385,2023-05-09,30421,13.7,16.3,1,spring
129,1424343,2023-05-10,55239,12.7,0.0,2,spring
130,1439300,2023-05-11,54997,13.7,2.9,3,spring
131,1430375,2023-05-12,57249,16.0,2.7,4,spring
132,1410908,2023-05-13,69849,16.1,0.0,5,spring
133,1429058,2023-05-14,56202,13.4,0.0,6,spring
134,1429101,2023-05-15,46723,10.4,0.3,0,spring
135,1444638,2023-05-16,47823,10.3,0.0,1,spring
136,1440856,2023-05-17,47255,10.8,0.0,2,spring
137,1438742,2023-05-18,85686,10.5,0.0,3,spring
138,1411404,2023-05-19,71248,13.6,0.0,4,spring
139,1414185,2023-05-20,66315,15.4,0.0,5,spring
140,1425824,2023-05-21,52849,16.3,0.0,6,spring
141,1429363,2023-05-22,42633,16.8,0.0,0,spring
142,1433924,2023-05-23,48346,12.3,0.0,1,spring
143,1404550,2023-05-24,55246,12.2,0.0,2,spring
144,1410249,2023-05-25,62882,12.5,0.0,3,spring
145,1409845,2023-05-26,67109,12.7,0.0,4,spring
146,1420836,2023-05-27,96904,14.2,0.0,5,spring
147,1411333,2023-05-28,79745,15.3,0.0,6,spring
148,1436505,2023-05-29,80612,12.6,0.0,0,spring
149,1405269,2023-05-30,68332,12.7,0.0,1,spring
150,1437019,2023-05-31,46638,14.9,0.0,2,spring
151,1421507,2023-06-01,67230,12.4,0.0,3,spring
152,1439672,2023-06-02,61553,13.7,0.0,4,spring
153,1408451,2023-06-03,80964,16.3,0.0,5,spring
154,1445470,2023-06-04,68354,15.5,0.0,6,spring
155,1407583,2023-06-05,54794,14.3,0.0,0,spring
156,1424923,2023-06-06,63589,14.9,0.0,1,spring
157,1413838,2023-06-07,46482,15.3,0.0,2,spring
158,1412757,2023-06-08,58657,16.8,0.0,3,spring
159,1407641,2023-06-09,53460,21.0,0.0,4,spring
160,1441177,2023-06-10,77024,22.8,0.0,5,spring
161,1405275,2023-06-11,45349,24.7,0.0,6,spring
162,1436879,2023-06-12,43630,24.3,0.0,0,spring
163,1438272,2023-06-13,47829,22.2,0.0,1,spring
164,1424366,2023-06-14,50340,20.8,0.0,2,spring
165,1410559,2023-06-15,55171,20.9,0.0,3,spring
166,1432980,2023-06-16,60574,20.3,0.0,4,spring
167,1411014,2023-06-17,66073,20.6,-0.1,5,spring
168,1443919,2023-06-18,62419,22.5,-0.1,6,spring
169,1408353,2023-06-19,50678,20.2,1.6,0,spring
170,1415097,2023-06-20,50179,22.0,17.0,1,spring
171,1415229,2023-06-21,58920,19.7,0.0,2,summer
172,1424796,2023-06-22,63308,19.8,-0.1,3,summer
173,1427386,2023-06-23,70061,20.1,0.0,4,summer
174,1411146,2023-06-24,91385,21.5,0.0,5,summer
175,1406379,2023-06-25,53529,25.2,0.0,6,summer
176,1428627,2023-06-26,58908,18.9,-0.1,0,summer
177,1439385,2023-06-27,53934,17.6,1.5,1,summer
178,1427815,2023-06-28,54780,18.8,2.8,2,summer
179,1421054,2023-06-29,51620,17.6,0.2,3,summer
180,1442630,2023-06-30,61975,17.5,-0.1,4,summer
181,1413655,2023-07-01,83992,17.5,5.5,5,summer
182,1417847,2023-07-02,75801,17.4,0.0,6,summer
183,1438894,2023-07-03,68204,16.8,5.3,0,summer
184,1418514,2023-07-04,73232,16.9,2.2,1,summer
185,1409818,2023-07-05,34638,14.2,26.6,2,summer
186,1446100,2023-07-06,60469,17.0,0.0,3,summer
187,1417336,2023-07-07,72599,21.2,0.0,4,summer
188,1406837,2023-07-08,75359,24.8,0.0,5,summer
189,1412518,2023-07-09,52782,21.5,9.2,6,summer
190,1412785,2023-07-10,59875,20.0,0.0,0,summer
191,1405422,2023-07-11,61721,21.0,0.7,1,summer
192,1405845,2023-07-12,61931,18.7,6.5,2,summer
193,1419933,2023-07-13,61581,18.2,0.0,3,summer
194,1434215,2023-07-14,59550,19.1,-0.1,4,summer
195,1406482,2023-07-15,76445,20.4,1.7,5,summer
196,1422922,2023-07-16,78394,18.7,0.3,6,summer
197,1422457,2023-07-17,71959,17.6,0.2,0,summer
198,1444506,2023-07-18,68216,18.0,-0.1,1,summer
199,1416791,2023-07-19,77908,17.7,0.3,2,summer
200,1436094,2023-07-20,71234,16.8,0.0,3,summer
201,1420894,2023-07-21,63960,16.4,-0.1,4,summer
202,1440648,2023-07-22,66193,16.4,2.5,5,summer
203,1424325,2023-07-23,73229,18.2,1.8,6,summer
204,1439708,2023-07-24,72307,16.9,-0.1,0,summer
205,1414023,2023-07-25,75515,15.1,0.1,1,summer
206,1442199,2023-07-26,86743,16.1,1.7,2,summer
207,1425422,2023-07-27,67079,17.5,14.8,3,summer
208,1417861,2023-07-28,62155,19.5,-0.1,4,summer
209,1427641,2023-07-29,70179,18.7,0.8,5,summer
210,1406967,2023-07-30,63577,18.0,4.9,6,summer
211,1404380,2023-07-31,52940,18.0,16.8,0,summer
212,1445356,2023-08-01,57845,17.5,3.8,1,summer
213,1433179,2023-08-02,57163,17.3,15.1,2,summer
214,1424040,2023-08-03,79689,17.2,1.3,3,summer
215,1420582,2023-08-04,74701,16.8,1.5,4,summer
216,1417485,2023-08-05,108325,15.7,11.5,5,summer
217,1432212,2023-08-06,59751,14.9,32.5,6,summer
218,1448061,2023-08-07,72146,16.0,1.9,0,summer
219,1435686,2023-08-08,80617,16.2,0.2,1,summer
220,1417033,2023-08-09,69521,15.9,0.0,2,summer
221,1444883,2023-08-10,72297,18.2,0.0,3,summer
222,1433868,2023-08-11,76016,20.5,-0.1,4,summer
223,1424862,2023-08-12,80091,19.5,10.3,5,summer
224,1445765,2023-08-13,61489,18.8,0.1,6,summer
225,1420538,2023-08-14,56190,20.1,0.0,0,summer
226,1432081,2023-08-15,66524,18.5,-0.1,1,summer
227,1414845,2023-08-16,83359,18.7,0.0,2,summer
228,1409242,2023-08-17,82607,18.8,-0.1,3,summer
229,1440732,2023-08-18,61229,20.5,0.0,4,summer
230,1431199,2023-08-19,75186,21.8,-0.1,5,summer
231,1431374,2023-08-20,50512,19.3,0.0,6,summer
232,1411329,2023-08-21,70615,19.3,0.0,0,summer
233,1428639,2023-08-22,64734,18.8,0.0,1,summer
234,1440965,2023-08-23,71290,18.8,0.0,2,summer
235,1415591,2023-08-24,70630,19.9,0.8,3,summer
236,1437442,2023-08-25,72451,19.0,0.0,4,summer
237,1412886,2023-08-26,78923,16.5,5.7,5,summer
238,1429334,2023-08-27,54838,15.2,6.3,6,summer
239,1424689,2023-08-28,54190,16.1,-0.1,0,summer
240,1414210,2023-08-29,58155,15.6,0.3,1,summer
241,1431647,2023-08-30,57800,14.8,4.4,2,summer
242,1406230,2023-08-31,66555,15.5,6.0,3,summer
243,1417233,2023-09-01,64484,16.5,4.6,4,summer
244,1440462,2023-09-02,67240,17.8,0.2,5,summer
245,1426877,2023-09-03,61204,17.2,0.0,6,summer
246,1425056,2023-09-04,60145,18.5,0.0,0,summer
247,1446228,2023-09-05,49789,22.0,0.0,1,summer
248,1416351,2023-09-06,41529,22.6,0.0,2,summer
249,1415936,2023-09-07,52163,22.8,0.0,3,summer
250,1443937,2023-09-08,54933,22.7,0.0,4,summer
251,1444343,2023-09-09,68879,22.2,0.0,5,summer
252,1429950,2023-09-10,56723,24.7,0.0,6,summer
253,1416469,2023-09-11,39596,21.0,1.9,0,summer
254,1414348,2023-09-12,47231,19.9,-0.1,1,summer
255,1406011,2023-09-13,45266,16.5,2.1,2,summer
256,1436571,2023-09-14,47892,15.8,0.0,3,summer
257,1418509,2023-09-15,45489,16.7,0.0,4,summer
258,1419946,2023-09-16,57070,19.3,0.4,5,summer
259,1428421,2023-09-17,54921,17.5,0.5,6,summer
260,1422045,2023-09-18,44624,18.9,16.0,0,summer
261,1420258,2023-09-19,46465,16.7,2.6,1,summer
262,1435386,2023-09-20,47612,18.6,0.0,2,summer
263,1412223,2023-09-21,44786,15.4,14.9,3,autumn
264,1437859,2023-09-22,60256,13.9,5.9,4,autumn
265,1437438,2023-09-23,85682,13.7,12.7,5,autumn
266,1407773,2023-09-24,66959,14.8,0.0,6,autumn
267,1409766,2023-09-25,51346,15.8,0.0,0,autumn
268,1446931,2023-09-26,48209,17.0,0.0,1,autumn
269,1445301,2023-09-27,42470,17.9,0.0,2,autumn
270,1422576,2023-09-28,134238,17.5,-0.1,3,autumn
271,1422662,2023-09-29,66527,16.2,2.1,4,autumn
272,1426162,2023-09-30,71420,15.5,0.0,5,autumn
273,1421128,2023-10-01,71848,18.3,0.0,6,autumn
274,1444745,2023-10-02,53116,18.6,0.0,0,autumn
275,1411328,2023-10-03,61570,16.4,2.1,1,autumn
276,1412864,2023-10-04,49766,15.5,-0.1,2,autumn
277,1445088,2023-10-05,68485,16.0,-0.1,3,autumn
278,1405293,2023-10-06,73419,16.9,0.0,4,autumn
279,1438997,2023-10-07,91282,18.5,0.0,5,autumn
280,1428495,2023-10-08,66649,15.3,0.0,6,autumn
281,1441232,2023-10-09,47211,17.5,-0.1,0,autumn
282,1444595,2023-10-10,43564,17.5,0.0,1,autumn
283,1445928,2023-10-11,56832,17.9,2.5,2,autumn
284,1439078,2023-10-12,41045,15.0,13.1,3,autumn
285,1423738,2023-10-13,50651,17.8,14.3,4,autumn
286,1424219,2023-10-14,103271,11.3,5.5,5,autumn
287,1416968,2023-10-15,51795,8.7,7.2,6,autumn
288,1418149,2023-10-16,51917,9.4,0.4,0,autumn
289,1446314,2023-10-17,72211,9.0,0.0,1,autumn
290,1408761,2023-10-18,52964,9.7,12.4,2,autumn
291,1442269,2023-10-19,60303,15.0,1.6,3,autumn
292,1438232,2023-10-20,38826,11.1,16.6,4,autumn
293,1444417,2023-10-21,60239,13.0,9.6,5,autumn
294,1418323,2023-10-22,75569,11.4,5.6,6,autumn
295,1428237,2023-10-23,60528,9.9,5.0,0,autumn
296,1414991,2023-10-24,59247,11.5,6.3,1,autumn
297,1426016,2023-10-25,58097,9.7,6.7,2,autumn
298,1413661,2023-10-26,87428,9.2,-0.1,3,autumn
299,1412186,2023-10-27,71304,10.5,10.0,4,autumn
300,1428131,2023-10-28,80925,11.5,5.7,5,autumn
301,1414356,2023-10-29,57752,12.4,9.1,6,autumn
302,1431721,2023-10-30,52215,10.8,10.7,0,autumn
303,1427755,2023-10-31,42155,11.0,19.5,1,autumn
304,1445521,2023-11-01,45731,12.0,0.8,2,autumn
305,1444611,2023-11-02,96918,10.5,12.8,3,autumn
306,1431342,2023-11-03,51293,9.8,16.3,4,autumn
307,1418056,2023-11-04,62356,9.3,4.2,5,autumn
308,1445227,2023-11-05,53341,10.5,8.8,6,autumn
309,1419905,2023-11-06,42251,10.0,1.9,0,autumn
310,1440406,2023-11-07,38835,9.6,8.0,1,autumn
311,1445309,2023-11-08,32658,9.6,14.1,2,autumn
312,1437826,2023-11-09,44061,8.9,8.4,3,autumn
313,1419514,2023-11-10,58084,7.3,13.3,4,autumn
314,1426735,2023-11-11,87237,7.6,3.3,5,autumn
315,1432452,2023-11-12,70283,5.9,0.4,6,autumn
316,1443424,2023-11-13,38973,10.6,5.6,0,autumn
317,1428785,2023-11-14,42219,12.2,15.9,1,autumn
318,1431226,2023-11-15,36312,11.1,6.7,2,autumn
319,1404086,2023-11-16,50511,7.1,-0.1,3,autumn
320,1427480,2023-11-17,61740,5.6,-0.1,4,autumn
321,1419413,2023-11-18,39328,8.7,9.4,5,autumn
322,1439827,2023-11-19,48233,13.0,2.9,6,autumn
323,1444446,2023-11-20,34582,10.1,4.4,0,autumn
324,1425559,2023-11-21,44231,8.4,-0.1,1,autumn
325,1407698,2023-11-22,46396,6.6,0.4,2,autumn
326,1438538,2023-11-23,47866,11.9,0.1,3,autumn
327,1435417,2023-11-24,104646,6.7,3.6,4,autumn
328,1410611,2023-11-25,99159,5.6,3.5,5,autumn
329,1414874,2023-11-26,65512,6.1,3.5,6,autumn
330,1405485,2023-11-27,34931,4.6,11.4,0,autumn
331,1408022,2023-11-28,44087,3.0,11.2,1,autumn
332,1427163,2023-11-29,40099,2.7,3.5,2,autumn
333,1431208,2023-11-30,54288,1.0,-0.1,3,autumn
334,1440134,2023-12-01,62412,-0.9,0.0,4,autumn
335,1406809,2023-12-02,97733,-0.5,0.9,5,autumn
336,1425866,2023-12-03,60939,0.7,3.8,6,autumn
337,1419150,2023-12-04,44493,2.0,2.0,0,autumn
338,1445522,2023-12-05,44201,1.9,0.1,1,autumn
339,1410002,2023-12-06,46691,2.3,0.5,2,autumn
340,1417135,2023-12-07,57783,0.6,-0.1,3,autumn
341,1447496,2023-12-08,68148,5.4,1.4,4,autumn
342,1442847,2023-12-09,50281,8.1,8.8,5,autumn
343,1420279,2023-12-10,77061,9.6,9.3,6,autumn
344,1416905,2023-12-11,48965,9.3,1.4,0,autumn
345,1436170,2023-12-12,23463,7.9,5.1,1,autumn
346,1444398,2023-12-13,48153,7.8,4.2,2,autumn
347,1436000,2023-12-14,53867,5.8,0.1,3,autumn
348,1404693,2023-12-15,77042,8.7,0.0,4,autumn
349,1411293,2023-12-16,94192,8.9,0.0,5,autumn
350,1437251,2023-12-17,68571,9.0,0.0,6,autumn
351,1411500,2023-12-18,51397,8.2,0.5,0,autumn
352,1409911,2023-12-19,35337,8.6,21.4,1,autumn
353,1414596,2023-12-20,53094,8.9,1.6,2,autumn
354,1425952,2023-12-21,48483,9.7,3.7,3,winter
355,1448321,2023-12-22,79887,9.0,5.1,4,winter
356,1430634,2023-12-23,97274,10.2,2.5,5,winter
357,1416121,2023-12-24,65890,11.6,8.3,6,winter
358,1423681,2023-12-25,34215,11.3,13.8,0,winter
359,1423635,2023-12-26,66895,7.5,0.6,1,winter
360,1445484,2023-12-27,88119,7.4,2.2,2,winter
361,1405776,2023-12-28,113039,10.7,0.5,3,winter
362,1426960,2023-12-29,85536,9.5,12.1,4,winter
363,1434415,2023-12-30,91495,8.4,-0.1,5,winter
364,1408957,2023-12-31,88432,8.6,9.3,6,winter
